target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,threshold,test_windows,positive_count,positive_rate,positive_recall,positive_precision,positive_f1,macro_f1,false_positive_rate,tn,fp,fn,tp
System_Failure,5,10,rf_smote,46,2169,145,0.06685108344859382,132,34,0.5,576,56,0.09722222222222222,0.05357142857142857,0.25,0.08823529411764706,0.5155198610809637,0.01730769230769231,511,9,53,3
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.05,530,24,0.045283018867924525,0.875,0.061764705882352944,0.11538461538461539,0.32637046861184793,0.6304347826086957,187,319,3,21
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.1,530,24,0.045283018867924525,0.7083333333333334,0.08947368421052632,0.1588785046728972,0.47305627361304436,0.34189723320158105,333,173,7,17
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.15,530,24,0.045283018867924525,0.5,0.0975609756097561,0.16326530612244897,0.5142723025683439,0.21936758893280633,395,111,12,12
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.2,530,24,0.045283018867924525,0.4166666666666667,0.10752688172043011,0.17094017094017094,0.534038484197551,0.16403162055335968,423,83,14,10
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.3,530,24,0.045283018867924525,0.16666666666666666,0.0975609756097561,0.12307692307692308,0.5328952454580596,0.07312252964426877,469,37,20,4
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.4,530,24,0.045283018867924525,0.125,0.11538461538461539,0.12,0.5382178217821783,0.045454545454545456,483,23,21,3
System_Failure,5,10,rf_smote,47,2215,177,0.0799097065462754,132,34,0.5,530,24,0.045283018867924525,0.08333333333333333,0.125,0.1,0.5323529411764706,0.02766798418972332,492,14,22,2
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.05,561,45,0.08021390374331551,1.0,0.1226158038147139,0.21844660194174756,0.38246273759059213,0.624031007751938,194,322,0,45
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.1,561,45,0.08021390374331551,0.9777777777777777,0.1685823754789272,0.2875816993464052,0.5102124183006536,0.42054263565891475,299,217,1,44
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.15,561,45,0.08021390374331551,0.7555555555555555,0.18888888888888888,0.3022222222222222,0.5635971757710888,0.28294573643410853,370,146,11,34
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.2,561,45,0.08021390374331551,0.6444444444444445,0.24369747899159663,0.35365853658536583,0.6215056774784866,0.1744186046511628,426,90,16,29
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.3,561,45,0.08021390374331551,0.28888888888888886,0.3333333333333333,0.30952380952380953,0.62682356179466,0.050387596899224806,490,26,32,13
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.4,561,45,0.08021390374331551,0.06666666666666667,0.2,0.1,0.5245762711864407,0.023255813953488372,504,12,42,3
System_Failure,5,10,rf_smote,48,2184,156,0.07142857142857142,132,34,0.5,561,45,0.08021390374331551,0.044444444444444446,0.2857142857142857,0.07692307692307693,0.5160316319194824,0.009689922480620155,511,5,43,2
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.05,584,35,0.059931506849315065,0.9428571428571428,0.08527131782945736,0.15639810426540285,0.33959315400937706,0.644808743169399,195,354,2,33
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.1,584,35,0.059931506849315065,0.6,0.08786610878661087,0.15328467153284672,0.44688842077760904,0.3970856102003643,331,218,14,21
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.15,584,35,0.059931506849315065,0.45714285714285713,0.1032258064516129,0.16842105263157894,0.5034334302012701,0.25318761384335153,410,139,19,16
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.2,584,35,0.059931506849315065,0.3142857142857143,0.0990990990990991,0.1506849315068493,0.5146771037181996,0.18214936247723132,449,100,24,11
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.3,584,35,0.059931506849315065,0.17142857142857143,0.1,0.12631578947368421,0.5244812870947172,0.09836065573770492,495,54,29,6
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.4,584,35,0.059931506849315065,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.5289097059588863,0.056466302367941715,518,31,31,4
System_Failure,5,10,rf_smote,49,2161,166,0.07681628875520592,132,34,0.5,584,35,0.059931506849315065,0.05714285714285714,0.10526315789473684,0.07407407407407407,0.5145953853314715,0.030965391621129327,532,17,33,2
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.05,487,33,0.06776180698151951,0.9696969696969697,0.10158730158730159,0.1839080459770115,0.36511696228563034,0.6233480176211453,171,283,1,32
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.1,487,33,0.06776180698151951,0.9090909090909091,0.15228426395939088,0.2608695652173913,0.5161874707807387,0.36784140969163,287,167,3,30
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.15,487,33,0.06776180698151951,0.6060606060606061,0.1694915254237288,0.26490066225165565,0.5650141221343332,0.21585903083700442,356,98,13,20
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.2,487,33,0.06776180698151951,0.48484848484848486,0.19047619047619047,0.27350427350427353,0.5871605381523701,0.14977973568281938,386,68,17,16
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.3,487,33,0.06776180698151951,0.2727272727272727,0.1875,0.2222222222222222,0.5758367550080876,0.08590308370044053,415,39,24,9
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.4,487,33,0.06776180698151951,0.12121212121212122,0.16666666666666666,0.14035087719298245,0.5434578813445828,0.04405286343612335,434,20,29,4
System_Failure,5,10,rf_smote,50,2258,168,0.07440212577502214,132,34,0.5,487,33,0.06776180698151951,0.06060606060606061,0.18181818181818182,0.09090909090909091,0.5239491691104594,0.019823788546255508,445,9,31,2
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.05,554,36,0.06498194945848375,1.0,0.1016949152542373,0.18461538461538463,0.3708592243411185,0.6138996138996139,200,318,0,36
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.1,554,36,0.06498194945848375,0.8333333333333334,0.13636363636363635,0.234375,0.5021640258215962,0.3667953667953668,328,190,6,30
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.15,554,36,0.06498194945848375,0.5,0.1267605633802817,0.20224719101123595,0.5247795094841126,0.23938223938223938,394,124,18,18
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.2,554,36,0.06498194945848375,0.16666666666666666,0.075,0.10344827586206896,0.4993047830923248,0.14285714285714285,444,74,30,6
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.3,554,36,0.06498194945848375,0.027777777777777776,0.045454545454545456,0.034482758620689655,0.49057471264367813,0.04054054054054054,497,21,35,1
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.4,554,36,0.06498194945848375,0.0,0.0,0.0,0.4793233082706767,0.015444015444015444,510,8,36,0
System_Failure,5,10,rf_smote,51,2191,165,0.07530807850296668,132,34,0.5,554,36,0.06498194945848375,0.0,0.0,0.0,0.4803001876172608,0.011583011583011582,512,6,36,0
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.05,559,83,0.148479427549195,0.9759036144578314,0.22946175637393768,0.37155963302752293,0.48490005111786705,0.5714285714285714,204,272,2,81
System_Failure,5,10,rf_smote,52,2186,118,0.053979871912168347,132,34,0.1,559,83,0.148479427549195,0.891566265060241,0.35071090047393366,0.5034013605442177,0.6631084472624,0.28781512605042014,339,137,9,74
