target,model,feature,window_statistic,false_alarm_window_count,true_negative_window_count,false_alarm_median,true_negative_median,true_negative_iqr,robust_shift_iqr,absolute_robust_shift_iqr
ProtectiveStop,rf_window_features,Speed_J1,range,14,2128,0.07868780428543687,0.17656578309834003,0.10638362984173,-0.920047369680082,0.920047369680082
ProtectiveStop,rf_window_features,Speed_J2,range,14,2128,0.06325366254895926,2.719276351854205,3.754742346704006,-0.7073781484997925,0.7073781484997925
ProtectiveStop,rf_window_features,Speed_J3,range,14,2128,0.9442895501852036,1.5378733277320862,0.5636762529611588,-1.0530579821814574,1.0530579821814574
ProtectiveStop,rf_window_features,Speed_J4,range,14,2128,0.048468343331478536,0.1458241455256939,0.1172454240731895,-0.8303590776680699,0.8303590776680699
ProtectiveStop,rf_window_features,Speed_J5,range,14,2128,0.7215487360954285,1.2736358046531677,0.48589862883090973,-1.1362186180399014,1.1362186180399014
ProtectiveStop,rf_window_features,Tool_current,range,14,2128,0.10239511728286743,0.108889639377594,0.2587661147117615,-0.025098039215686273,0.025098039215686273
ProtectiveStop,rf_window_features,Power_J0,range,14,2128,0.07778454758226871,0.1613685078918934,0.13021785765886307,-0.6418778638533044,0.6418778638533044
ProtectiveStop,rf_window_features,Power_J1,range,14,2128,0.20211991667747498,0.3656459115445614,0.25108623411506414,-0.6512742343021007,0.6512742343021007
ProtectiveStop,rf_window_features,Power_J2,range,14,2128,0.09557805396616459,3.8214315650984645,4.050514617934823,-0.91984694849267,0.91984694849267
ProtectiveStop,rf_window_features,Power_J3,range,14,2128,0.5207928270101547,1.0897136591374874,0.7148721218109131,-0.7958358072296108,0.7958358072296108
ProtectiveStop,rf_window_features,Power_J4,range,14,2128,0.010441410820931196,0.039011120330542326,0.03504831396276131,-0.8151521793592219,0.8151521793592219
ProtectiveStop,rf_window_features,Power_J5,range,14,2128,0.091825743438676,0.20059826970100403,0.12460881099104881,-0.8729119987361217,0.8729119987361217
ProtectiveStop,rf_window_features,Abs_Current_Sum,range,14,2128,4.369079351425171,5.419931888580322,3.592755436897278,-0.2924920873719902,0.2924920873719902
ProtectiveStop,1d_cnn,Current_J0,mean,46,2096,-0.05831437800079584,-0.05621872427873313,0.23188989635091276,-0.009037279135661066,0.009037279135661066
ProtectiveStop,1d_cnn,Current_J1,mean,46,2096,-2.3972067654132845,-2.132776227593422,0.33809751942753796,-0.7821132147541114,0.7821132147541114
ProtectiveStop,1d_cnn,Current_J2,mean,46,2096,-1.359018924832344,-1.1812246143817902,0.1722928091883662,-1.0319311135972773,1.0319311135972773
ProtectiveStop,1d_cnn,Current_J3,mean,46,2096,-0.6973520003259182,-0.5644439548254013,0.1456228602677584,-0.9126866843305873,0.9126866843305873
ProtectiveStop,1d_cnn,Current_J4,mean,46,2096,0.02520679992157966,-0.013917184330057352,0.15582583873765543,0.25107507566511605,0.25107507566511605
ProtectiveStop,1d_cnn,Current_J5,mean,46,2096,-0.0008172142319381237,-0.006278431331156752,0.04003377580665983,0.13641523911192324,0.13641523911192324
ProtectiveStop,1d_cnn,Temperature_J0,mean,46,2096,36.121875,33.74375,5.614062499999999,0.42360144725855914,0.42360144725855914
ProtectiveStop,1d_cnn,Temperature_J1,mean,46,2096,39.3625,36.25,6.682812500000004,0.46574701893850756,0.46574701893850756
