target,window_size,model,test_block,train_blocks,train_cycle_runs,test_cycle_runs,train_windows,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc,false_positive_rate,feature_set
System_Failure,20,rf_smote,5,8,173,23,1806,234,82,0.3504273504273504,0.905982905982906,0.9006944444444445,0.9075498575498576,0.8061224489795918,0.9634146341463414,0.8777777777777778,133,19,3,79,0.9815869704749679,0.9682042441615144,0.125,no_temperature
System_Failure,20,rf_smote,7,8,172,24,1805,235,93,0.39574468085106385,0.8808510638297873,0.8722429325877601,0.8791576609625031,0.9012345679012346,0.7849462365591398,0.8390804597701149,134,8,20,73,0.900196880205967,0.8977068649539767,0.056338028169014086,no_temperature
System_Failure,20,rf_smote,8,8,186,10,1964,76,21,0.27631578947368424,0.8289473684210527,0.7948078920041537,0.8322511887194621,0.6666666666666666,0.7619047619047619,0.7111111111111111,47,8,5,16,0.9341991341991343,0.9022997145098595,0.14545454545454545,no_temperature
System_Failure,20,rf_smote,9,8,170,26,1739,301,179,0.5946843853820598,0.6378737541528239,0.6370886566008518,0.64028512520531,0.7573529411764706,0.5754189944134078,0.653968253968254,89,33,76,103,0.7203956406264309,0.8181772775359193,0.27049180327868855,no_temperature
System_Failure,20,rf_smote,10,8,169,27,1585,455,212,0.46593406593406594,0.6967032967032967,0.6963733075435203,0.6970552851403916,0.6622807017543859,0.7122641509433962,0.6863636363636364,166,77,61,151,0.7774089603230065,0.8024853802811872,0.3168724279835391,no_temperature
ProtectiveStop,5,rf_smote,1,8,181,25,4509,554,22,0.039711191335740074,0.9638989169675091,0.6061424712071662,0.9517026744984065,0.75,0.13636363636363635,0.23076923076923078,531,1,19,3,0.9784261790840739,0.616457020658056,0.0018796992481203006,all_sensors
ProtectiveStop,5,rf_smote,2,8,182,24,4524,539,25,0.04638218923933209,0.987012987012987,0.9152230086507134,0.9859998219957774,1.0,0.72,0.8372093023255814,514,0,7,18,0.9932684824902723,0.90375122242099,0.0,all_sensors
ProtectiveStop,5,rf_smote,3,8,182,24,4517,546,35,0.0641025641025641,0.9432234432234432,0.6811889020737978,0.9331655517449721,0.625,0.2857142857142857,0.39215686274509803,505,6,25,10,0.9630975677942409,0.5699697634736038,0.011741682974559686,all_sensors
ProtectiveStop,5,rf_smote,4,8,189,17,4639,424,37,0.08726415094339622,0.9339622641509434,0.7976547586583038,0.9347456406192918,0.6153846153846154,0.6486486486486487,0.631578947368421,372,15,13,24,0.9607165304839723,0.677268097068479,0.03875968992248062,all_sensors
ProtectiveStop,5,rf_smote,5,8,181,25,4468,595,55,0.09243697478991597,0.9512605042016806,0.8604246713852376,0.9522067107935187,0.7166666666666667,0.7818181818181819,0.7478260869565218,523,17,12,43,0.9746464646464646,0.657155242855939,0.03148148148148148,all_sensors
ProtectiveStop,5,rf_smote,7,8,181,25,4463,600,61,0.10166666666666667,0.9516666666666667,0.8536819179441468,0.949072365783993,0.8333333333333334,0.6557377049180327,0.7339449541284404,531,8,21,40,0.9738434867240487,0.8065540995413146,0.014842300556586271,all_sensors
ProtectiveStop,5,rf_smote,8,8,194,12,4814,249,16,0.0642570281124498,0.9879518072289156,0.948400911791117,0.9877703811030542,0.9333333333333333,0.875,0.9032258064516129,232,1,2,14,0.9991952789699571,0.9882506127450981,0.004291845493562232,all_sensors
ProtectiveStop,5,rf_smote,9,8,180,26,4372,691,101,0.14616497829232997,0.9435600578871202,0.8804800489628654,0.9419265118392808,0.8522727272727273,0.7425742574257426,0.7936507936507936,577,13,26,75,0.9773703641550595,0.8884514138391321,0.022033898305084745,all_sensors
ProtectiveStop,5,rf_smote,10,8,178,28,4198,865,135,0.15606936416184972,0.953757225433526,0.9039145116857727,0.9515171034673349,0.9439252336448598,0.7481481481481481,0.8347107438016529,724,6,34,101,0.9858193810248604,0.9463332632190257,0.00821917808219178,all_sensors
ProtectiveStop,5,rf_smote,1,8,181,25,4509,554,22,0.039711191335740074,0.9620938628158845,0.6902143522833177,0.957379189222834,0.5384615384615384,0.3181818181818182,0.4,526,6,15,7,0.9751794258373205,0.579321723690791,0.011278195488721804,no_temperature
