target,window_size,prediction_horizon,model,split_seed,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
ProtectiveStop,10,3,rf_smote,81,1883,9,0.004779607010090282,124,31,460,9,0.01956521739130435,0.9804347826086957,0.4950603732162459,0.9707488187848995,0.0,0.0,0.0,451,0,9,0,0.7487065779748705,0.3425005751092708
ProtectiveStop,10,3,rf_smote,84,1854,12,0.006472491909385114,124,31,489,6,0.012269938650306749,0.9877300613496932,0.49691358024691357,0.9816329622055594,0.0,0.0,0.0,483,0,6,0,0.5646997929606625,0.02935579611740874
ProtectiveStop,10,3,rf_smote,86,1857,15,0.008077544426494346,124,31,486,3,0.006172839506172839,0.9938271604938271,0.4984520123839009,0.9907502962198524,0.0,0.0,0.0,483,0,3,0,0.8933747412008282,0.035114208284939996
GripLost,5,3,rf_smote,42,4009,52,0.012970815664754302,168,42,933,30,0.03215434083601286,0.9732047159699893,0.6360302722946087,0.9638178996093162,1.0,0.16666666666666666,0.2857142857142857,903,0,25,5,0.8675526024363234,0.5099134827141464
GripLost,5,3,rf_smote,43,3984,61,0.015311244979919678,168,42,958,21,0.021920668058455117,0.975991649269311,0.5973539462383276,0.9706931668802875,0.375,0.14285714285714285,0.20689655172413793,932,5,18,3,0.8562280835493216,0.25092813516965795
GripLost,5,3,rf_smote,44,3940,66,0.016751269035532996,168,42,1002,16,0.015968063872255488,0.9830339321357285,0.6557049014653865,0.9806886883131161,0.4444444444444444,0.25,0.32,981,5,12,4,0.9519523326572008,0.32733015516766273
GripLost,5,3,rf_smote,45,3930,67,0.017048346055979643,168,42,1012,15,0.014822134387351778,0.991106719367589,0.8310799532632281,0.9906193282017889,0.75,0.6,0.6666666666666666,994,3,6,9,0.979872952189903,0.6098419402895107
GripLost,5,3,rf_smote,46,4057,66,0.01626817845698792,168,42,885,16,0.01807909604519774,0.9785310734463277,0.5815186282073617,0.9743859319067095,0.2857142857142857,0.125,0.17391304347826086,864,5,14,2,0.9468138665132335,0.35542518110112487
GripLost,5,3,rf_smote,47,3981,67,0.016829942225571465,168,42,961,15,0.015608740894901144,0.9864724245577523,0.7139684502140715,0.9844388128089189,0.625,0.3333333333333333,0.43478260869565216,943,3,10,5,0.9302325581395349,0.5032662138853811
GripLost,5,3,rf_smote,48,4064,61,0.015009842519685039,168,42,878,21,0.023917995444191344,0.9783599088838268,0.666912924545255,0.973590991573578,0.625,0.23809523809523808,0.3448275862068966,854,3,16,5,0.9547702394843585,0.5727230890018391
GripLost,5,3,rf_smote,49,3810,64,0.01679790026246719,168,42,1132,18,0.015901060070671377,0.984982332155477,0.5914485276946266,0.979669094471487,0.6666666666666666,0.1111111111111111,0.19047619047619047,1113,1,16,2,0.8820317175344106,0.42736751902227366
GripLost,5,3,rf_smote,50,3985,63,0.015809284818067756,168,42,957,19,0.019853709508881923,0.9811912225705329,0.673799424329647,0.9778823765184245,0.5555555555555556,0.2631578947368421,0.35714285714285715,934,4,14,5,0.8203063629222309,0.3966379909139776
