target,model_variant,seed,test_block,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,window_macro_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_pr_auc
System_Failure,1d_cnn_19_raw,44,5,6,6,1.0,19,1,0.05263157894736842,0.8671763445978106,0.7263157894736842,0.8518518518518519,0.7840909090909091,0.7178350710607027
System_Failure,1d_cnn_19_raw,42,7,9,9,1.0,15,2,0.13333333333333333,0.8872647567990172,0.875,0.77,0.8191489361702128,0.8885179069660076
System_Failure,1d_cnn_19_raw,43,7,9,9,1.0,15,1,0.06666666666666667,0.8834813324829516,0.8735632183908046,0.76,0.8128342245989305,0.860683731764568
System_Failure,1d_cnn_19_raw,44,7,9,9,1.0,15,1,0.06666666666666667,0.8784908749387886,0.922077922077922,0.71,0.8022598870056498,0.8468741176755478
System_Failure,1d_cnn_19_raw,42,8,5,3,0.6,7,0,0.0,0.7623456790123457,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.6662964107718308
System_Failure,1d_cnn_19_raw,43,8,5,4,0.8,7,0,0.0,0.7188174881220906,0.5806451612903226,0.5,0.5373134328358209,0.6740843658396543
System_Failure,1d_cnn_19_raw,44,8,5,5,1.0,7,3,0.42857142857142855,0.8558120859265208,0.673469387755102,0.9166666666666666,0.7764705882352941,0.8989253053606634
System_Failure,1d_cnn_19_raw,42,9,20,20,1.0,6,3,0.5,0.7183141239646298,0.6827586206896552,0.5380434782608695,0.601823708206687,0.72753544676583
System_Failure,1d_cnn_19_raw,43,9,20,20,1.0,6,5,0.8333333333333334,0.6879200618568965,0.5603864734299517,0.6304347826086957,0.5933503836317136,0.7233028837065114
System_Failure,1d_cnn_19_raw,44,9,20,19,0.95,6,4,0.6666666666666666,0.7937737861838312,0.7228260869565217,0.7228260869565217,0.7228260869565217,0.8026634327012248
System_Failure,1d_cnn_19_raw,42,10,20,20,1.0,7,4,0.5714285714285714,0.6985668166699276,0.5030120481927711,0.8106796116504854,0.620817843866171,0.7536111057214866
System_Failure,1d_cnn_19_raw,43,10,20,19,0.95,7,5,0.7142857142857143,0.7289296329250516,0.6212121212121212,0.5970873786407767,0.6089108910891089,0.7390414931347998
System_Failure,1d_cnn_19_raw,44,10,20,20,1.0,7,5,0.7142857142857143,0.6845158251093865,0.48342541436464087,0.8495145631067961,0.6161971830985915,0.7659952875263512
ProtectiveStop,1d_cnn_19_raw,42,1,2,1,0.5,22,0,0.0,0.6230738037307381,0.5555555555555556,0.18518518518518517,0.2777777777777778,0.2960640782729243
ProtectiveStop,1d_cnn_19_raw,43,1,2,2,1.0,22,3,0.13636363636363635,0.7297062579821201,0.3958333333333333,0.7037037037037037,0.5066666666666667,0.3294062986105493
ProtectiveStop,1d_cnn_19_raw,44,1,2,1,0.5,22,0,0.0,0.6186917733811765,0.5,0.18518518518518517,0.2702702702702703,0.2583400678691861
ProtectiveStop,1d_cnn_19_raw,42,2,2,2,1.0,21,2,0.09523809523809523,0.7981885154909678,0.4794520547945205,1.0,0.6481481481481481,0.7783352964840969
ProtectiveStop,1d_cnn_19_raw,43,2,2,2,1.0,21,0,0.0,0.851379974326059,0.6382978723404256,0.8571428571428571,0.7317073170731707,0.9211971142601355
ProtectiveStop,1d_cnn_19_raw,44,2,2,2,1.0,21,2,0.09523809523809523,0.8057321575061526,0.49295774647887325,1.0,0.660377358490566,0.9022307334509435
ProtectiveStop,1d_cnn_19_raw,42,3,3,2,0.6666666666666666,21,3,0.14285714285714285,0.7399620184481823,0.5128205128205128,0.5405405405405406,0.5263157894736842,0.6197895738358307
ProtectiveStop,1d_cnn_19_raw,43,3,3,2,0.6666666666666666,21,4,0.19047619047619047,0.7166297117516629,0.4444444444444444,0.5405405405405406,0.4878048780487805,0.6027752825654805
