target,window_size,prediction_horizon,split,split_seed,model,train_windows,train_positive_count,train_positive_rate,train_cycle_runs,test_cycle_runs,train_cycle_ids,test_cycle_ids,test_windows,positive_count,positive_rate,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,tn,fp,fn,tp,roc_auc,pr_auc
System_Failure,20,5,cycle_run_group,42,rf_smote,502,3,0.00597609561752988,97,25,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.8759124087591241,0.05555555555555555
System_Failure,20,10,cycle_run_group,42,rf_plain,502,3,0.00597609561752988,97,25,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.875912408759124,0.05263157894736842
System_Failure,20,10,cycle_run_group,42,rf_smote,502,3,0.00597609561752988,97,25,97,25,138,1,0.007246376811594203,0.9927536231884058,0.49818181818181817,0.9891436100131752,0.0,0.0,0.0,137,0,1,0,0.8759124087591241,0.05555555555555555
ProtectiveStop,5,3,cycle_run_group,42,rf_plain,2520,32,0.012698412698412698,144,36,144,36,639,9,0.014084507042253521,0.9859154929577465,0.49645390070921985,0.9789231844970532,0.0,0.0,0.0,630,0,9,0,0.8399470899470899,0.18364869632155745
ProtectiveStop,5,3,cycle_run_group,42,rf_smote,2520,32,0.012698412698412698,144,36,144,36,639,9,0.014084507042253521,0.9859154929577465,0.49645390070921985,0.9789231844970532,0.0,0.0,0.0,630,0,9,0,0.7999118165784832,0.08908237168665653
ProtectiveStop,5,5,cycle_run_group,42,rf_plain,2520,40,0.015873015873015872,144,36,144,36,639,13,0.02034428794992175,0.9796557120500783,0.49486166007905136,0.9695881039420537,0.0,0.0,0.0,626,0,13,0,0.7799213565986729,0.15686761657400478
ProtectiveStop,5,5,cycle_run_group,42,rf_smote,2520,40,0.015873015873015872,144,36,144,36,639,13,0.02034428794992175,0.9796557120500783,0.49486166007905136,0.9695881039420537,0.0,0.0,0.0,626,0,13,0,0.8247726714180389,0.13828277469727002
ProtectiveStop,5,10,cycle_run_group,42,rf_plain,2520,60,0.023809523809523808,144,36,144,36,639,23,0.03599374021909233,0.9640062597809077,0.49083665338645416,0.946339212788907,0.0,0.0,0.0,616,0,23,0,0.7249082439299831,0.1284122496577142
ProtectiveStop,5,10,cycle_run_group,42,rf_smote,2520,60,0.023809523809523808,144,36,144,36,639,23,0.03599374021909233,0.9671361502347418,0.5716201117318436,0.9536087287224275,1.0,0.08695652173913043,0.16,616,0,21,2,0.825981084133258,0.21243008110692713
ProtectiveStop,10,3,cycle_run_group,42,rf_plain,1918,9,0.0046923879040667365,124,31,123,31,425,9,0.021176470588235293,0.9788235294117648,0.4946492271105826,0.968348604602364,0.0,0.0,0.0,416,0,9,0,0.9939903846153847,0.7814814814814814
ProtectiveStop,10,3,cycle_run_group,42,rf_smote,1918,9,0.0046923879040667365,124,31,123,31,425,9,0.021176470588235293,0.9788235294117648,0.4946492271105826,0.968348604602364,0.0,0.0,0.0,416,0,9,0,0.9799679487179487,0.7508343508343508
ProtectiveStop,10,5,cycle_run_group,42,rf_plain,1918,15,0.007820646506777894,124,31,123,31,425,15,0.03529411764705882,0.9647058823529412,0.49101796407185627,0.9473758365621697,0.0,0.0,0.0,410,0,15,0,0.8137398373983741,0.5207437751557895
ProtectiveStop,10,5,cycle_run_group,42,rf_smote,1918,15,0.007820646506777894,124,31,123,31,425,15,0.03529411764705882,0.9647058823529412,0.49101796407185627,0.9473758365621697,0.0,0.0,0.0,410,0,15,0,0.933739837398374,0.5723141689930646
ProtectiveStop,10,10,cycle_run_group,42,rf_plain,1918,29,0.015119916579770595,124,31,123,31,425,28,0.06588235294117648,0.9341176470588235,0.4829683698296837,0.9022985544582797,0.0,0.0,0.0,397,0,28,0,0.861370996761425,0.5845643813310485
ProtectiveStop,10,10,cycle_run_group,42,rf_smote,1918,29,0.015119916579770595,124,31,123,31,425,28,0.06588235294117648,0.9341176470588235,0.4829683698296837,0.9022985544582797,0.0,0.0,0.0,397,0,28,0,0.819224541201871,0.6158267449604232
