target,variant,test_block,event_cycles,detected_event_cycles,event_cycle_recall,normal_cycles,false_alarm_cycles,normal_cycle_false_alarm_rate
GripLost,drop_speed,3,5,5,1.0,19,1,0.05263157894736842
GripLost,drop_speed,4,7,7,1.0,10,2,0.2
GripLost,drop_speed,5,1,1,1.0,24,0,0.0
GripLost,drop_speed,7,4,3,0.75,20,0,0.0
GripLost,drop_speed,8,2,2,1.0,10,0,0.0
GripLost,drop_speed,9,6,6,1.0,20,0,0.0
GripLost,drop_speed,10,6,4,0.6666666666666666,21,1,0.047619047619047616
GripLost,drop_temperature,1,5,5,1.0,19,1,0.05263157894736842
GripLost,drop_temperature,2,3,3,1.0,20,0,0.0
GripLost,drop_temperature,3,5,5,1.0,19,1,0.05263157894736842
GripLost,drop_temperature,4,7,7,1.0,10,0,0.0
GripLost,drop_temperature,5,1,1,1.0,24,0,0.0
GripLost,drop_temperature,7,4,4,1.0,20,0,0.0
GripLost,drop_temperature,8,2,2,1.0,10,2,0.2
GripLost,drop_temperature,9,6,6,1.0,20,5,0.25
GripLost,drop_temperature,10,6,4,0.6666666666666666,21,3,0.14285714285714285
GripLost,drop_tool_current,1,5,4,0.8,19,0,0.0
GripLost,drop_tool_current,2,3,3,1.0,20,1,0.05
GripLost,drop_tool_current,3,5,5,1.0,19,1,0.05263157894736842
GripLost,drop_tool_current,4,7,7,1.0,10,0,0.0
GripLost,drop_tool_current,5,1,1,1.0,24,0,0.0
GripLost,drop_tool_current,7,4,4,1.0,20,0,0.0
GripLost,drop_tool_current,8,2,2,1.0,10,1,0.1
GripLost,drop_tool_current,9,6,6,1.0,20,3,0.15
GripLost,drop_tool_current,10,6,4,0.6666666666666666,21,1,0.047619047619047616
