target,window_size,feature_set,model,decision_threshold,test_block,train_blocks,train_cycle_runs,train_windows,eligible_test_cycle_runs,event_cycle_count,detected_event_cycle_count,event_cycle_recall,normal_cycle_count,false_alarm_cycle_count,normal_cycle_false_alarm_rate,false_positive_windows_on_normal_cycles,false_positive_windows_per_normal_cycle,normal_window_false_positive_rate,detected_event_delay_steps_mean,detected_event_delay_steps_median,detected_event_delay_steps_max,window_false_positive_rate,window_test_windows,window_positive_count,window_positive_rate,window_accuracy,window_macro_f1,window_weighted_f1,window_positive_precision,window_positive_recall,window_positive_f1,window_tn,window_fp,window_fn,window_tp,window_roc_auc,window_pr_auc
ProtectiveStop,10,all_sensors,rf_smote,0.5,3,8,178,3609,24,3,3,1.0,21,3,0.14285714285714285,6,0.2857142857142857,0.018292682926829267,0.0,0.0,0.0,0.04884318766066838,426,37,0.08685446009389672,0.9366197183098591,0.8235754275634635,0.9402663083339364,0.6041666666666666,0.7837837837837838,0.6823529411764706,370,19,8,29,0.9628986312790939,0.5990107750552731
ProtectiveStop,10,all_sensors,rf_smote,0.5,4,8,185,3696,17,3,3,1.0,14,1,0.07142857142857142,6,0.42857142857142855,0.028985507246376812,0.0,0.0,0.0,0.08783783783783784,339,43,0.12684365781710916,0.8997050147492626,0.8069217367997856,0.906811819017733,0.5737704918032787,0.813953488372093,0.6730769230769231,270,26,8,35,0.9262649277184162,0.6000112296195792
ProtectiveStop,10,all_sensors,rf_smote,0.5,5,8,177,3565,25,5,5,1.0,20,1,0.05,1,0.05,0.0036101083032490976,0.0,0.0,0.0,0.057356608478802994,470,69,0.14680851063829786,0.9361702127659575,0.8835134331317538,0.9388363788233856,0.7294117647058823,0.8985507246376812,0.8051948051948052,378,23,7,62,0.9774115436047561,0.8722366506653948
ProtectiveStop,10,all_sensors,rf_smote,0.5,7,8,178,3560,24,8,8,1.0,16,0,0.0,0,0.0,0.0,0.125,0.0,1.0,0.009852216748768473,475,69,0.14526315789473684,0.96,0.9136537155212828,0.9585350312377418,0.9310344827586207,0.782608695652174,0.8503937007874016,402,4,15,54,0.9766545298779182,0.9188982167855471
ProtectiveStop,10,all_sensors,rf_smote,0.5,8,8,190,3846,12,3,3,1.0,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,189,17,0.08994708994708994,0.9947089947089947,0.9842565597667638,0.994776867663165,0.9444444444444444,1.0,0.9714285714285714,171,1,0,17,1.0,1.0
ProtectiveStop,10,all_sensors,rf_smote,0.5,9,8,176,3474,26,17,16,0.9411764705882353,9,0,0.0,0,0.0,0.0,1.375,0.0,8.0,0.015945330296127564,561,122,0.21746880570409982,0.9126559714795008,0.8559405084452643,0.907016649870983,0.9195402298850575,0.6557377049180327,0.7655502392344498,432,7,42,80,0.9352290974270883,0.8841246837334897
ProtectiveStop,10,all_sensors,rf_smote,0.5,10,8,175,3310,27,19,18,0.9473684210526315,8,1,0.125,1,0.125,0.008264462809917356,0.5,0.0,9.0,0.027538726333907058,725,144,0.1986206896551724,0.9406896551724138,0.9040536007214062,0.9397901091925899,0.8796992481203008,0.8125,0.8447653429602888,565,16,27,117,0.9665268215720023,0.9157579180378893
ProtectiveStop,10,no_temperature,rf_smote,0.5,1,8,178,3606,24,2,1,0.5,22,6,0.2727272727272727,7,0.3181818181818182,0.01881720430107527,0.0,0.0,0.0,0.029850746268656716,429,27,0.06293706293706294,0.9254079254079254,0.6324694795459413,0.9192891066954035,0.3684210526315789,0.25925925925925924,0.30434782608695654,390,12,20,7,0.9120140040538051,0.43460987242770976
ProtectiveStop,10,no_temperature,rf_smote,0.5,2,8,179,3614,23,2,2,1.0,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0025906735751295338,421,35,0.0831353919239905,0.995249406175772,0.984418948926721,0.995249406175772,0.9714285714285714,0.9714285714285714,0.9714285714285714,385,1,1,34,0.9994448556624723,0.9946843853820598
ProtectiveStop,10,no_temperature,rf_smote,0.5,3,8,178,3609,24,3,3,1.0,21,4,0.19047619047619047,8,0.38095238095238093,0.024390243902439025,0.6666666666666666,0.0,2.0,0.05398457583547558,426,37,0.08685446009389672,0.92018779342723,0.7706050047513462,0.9236664629313205,0.5333333333333333,0.6486486486486487,0.5853658536585366,368,21,13,24,0.9580351559786007,0.5533394962293312
ProtectiveStop,10,no_temperature,rf_smote,0.5,4,8,185,3696,17,3,3,1.0,14,1,0.07142857142857142,6,0.42857142857142855,0.028985507246376812,0.0,0.0,0.0,0.08108108108108109,339,43,0.12684365781710916,0.9144542772861357,0.8365993517825978,0.9207758310663375,0.6129032258064516,0.8837209302325582,0.7238095238095238,272,24,5,38,0.9455923947203017,0.640366342217236
ProtectiveStop,10,no_temperature,rf_smote,0.5,5,8,177,3565,25,5,5,1.0,20,1,0.05,1,0.05,0.0036101083032490976,0.0,0.0,0.0,0.057356608478802994,470,69,0.14680851063829786,0.9382978723404255,0.8879802753236079,0.9410134251953014,0.7325581395348837,0.9130434782608695,0.8129032258064516,378,23,6,63,0.9810618381582276,0.8946336067942309
ProtectiveStop,10,no_temperature,rf_smote,0.5,7,8,178,3560,24,8,8,1.0,16,0,0.0,0,0.0,0.0,0.125,0.0,1.0,0.012315270935960592,475,69,0.14526315789473684,0.96,0.9147853345796864,0.9588238959861768,0.9166666666666666,0.7971014492753623,0.8527131782945736,401,5,14,55,0.9816877275647891,0.9346411687425538
ProtectiveStop,10,no_temperature,rf_smote,0.5,8,8,190,3846,12,3,3,1.0,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,189,17,0.08994708994708994,0.9894179894179894,0.9692982456140351,0.9896809926049691,0.8947368421052632,1.0,0.9444444444444444,170,2,0,17,1.0,1.0
ProtectiveStop,10,no_temperature,rf_smote,0.5,9,8,176,3474,26,17,16,0.9411764705882353,9,0,0.0,0,0.0,0.0,1.375,0.0,8.0,0.011389521640091117,561,122,0.21746880570409982,0.9144385026737968,0.8572942722686225,0.9083216554754965,0.9404761904761905,0.6475409836065574,0.7669902912621359,434,5,43,79,0.9520146383360096,0.8949562267462073
ProtectiveStop,10,no_temperature,rf_smote,0.5,10,8,175,3310,27,19,18,0.9473684210526315,8,1,0.125,1,0.125,0.008264462809917356,0.5,0.0,9.0,0.043029259896729774,725,144,0.1986206896551724,0.9310344827586207,0.8916798144960796,0.9310344827586207,0.8263888888888888,0.8263888888888888,0.8263888888888888,556,25,25,119,0.9692460317460319,0.9137356306487038
GripLost,10,all_sensors,rf_smote,0.5,1,8,178,3606,24,5,5,1.0,19,0,0.0,0,0.0,0.0,12.6,12.0,29.0,0.0,429,90,0.2097902097902098,0.8344988344988346,0.6269153979005646,0.7884412595035933,1.0,0.2111111111111111,0.3486238532110092,339,0,71,19,0.9488856112749918,0.841900519531625
